screen_share_duration,banking_app_opened,new_beneficiary,transaction_amount,app_switch_count,session_duration,time_between_events,known_assistant,first_time_assistance,transaction_velocity,navigation_back_count,authentication_event,assistance_history,label,label_name
0.0,0,0,18340.79,2,76.6,5.12,0,0,0.5,2,0,0,0,LEGITIMATE
0.0,1,0,1024.05,0,302.8,5.05,0,0,0.43,0,1,0,0,LEGITIMATE
190.9,1,0,4585.72,3,251.1,6.32,1,0,0.4,2,0,1,0,LEGITIMATE
0.0,1,0,345.89,2,215.8,3.84,0,0,0.24,0,1,0,0,LEGITIMATE
0.0,1,1,2135.6,1,158.6,3.78,0,0,0.2,0,1,0,0,LEGITIMATE
0.0,1,1,12373.39,3,646.2,8.36,0,0,0.27,3,1,0,0,LEGITIMATE
0.0,1,1,9112.72,3,372.4,3.25,0,0,0.14,3,1,0,0,LEGITIMATE
489.3,1,1,371238.79,14,613.6,1.59,0,1,3.58,10,1,0,2,COACHED_SCAM
229.8,1,0,20419.73,6,259.4,5.05,1,0,0.72,1,1,5,0,LEGITIMATE
122.4,1,0,29061.9,6,332.3,3.07,0,1,0.98,3,1,0,1,SUSPICIOUS
0.0,1,0,1211.65,4,82.2,3.52,0,0,0.07,1,1,0,1,SUSPICIOUS
337.5,1,1,347023.73,8,353.6,2.34,0,1,3.47,6,1,0,2,COACHED_SCAM
0.0,1,0,601.86,0,264.0,2.12,0,0,0.54,0,1,0,0,LEGITIMATE
324.9,1,0,237378.63,12,466.8,1.62,0,1,3.04,14,1,0,2,COACHED_SCAM
0.0,1,0,3290.8,0,95.0,3.77,0,0,0.19,1,1,0,0,LEGITIMATE
173.4,1,0,4808.94,4,321.5,4.94,0,1,0.43,3,1,0,1,SUSPICIOUS
0.0,1,1,36282.59,7,311.6,1.78,0,0,2.34,3,1,0,1,SUSPICIOUS
153.4,0,0,2871.58,0,205.6,4.67,0,1,0.57,1,0,0,1,SUSPICIOUS
223.2,1,1,399409.15,7,313.2,1.61,0,1,2.71,13,1,0,2,COACHED_SCAM
663.7,1,1,185171.14,10,861.4,2.39,0,1,2.87,12,1,0,2,COACHED_SCAM
0.0,1,0,2304.13,1,196.0,2.75,0,0,0.19,0,1,1,0,LEGITIMATE
47.7,1,1,43132.91,3,345.9,1.92,0,0,1.79,7,1,1,1,SUSPICIOUS
0.0,1,0,469.57,1,185.4,2.87,0,0,0.29,1,1,0,0,LEGITIMATE
135.7,1,0,13519.44,8,345.7,2.73,0,1,1.53,7,1,1,2,COACHED_SCAM
161.6,1,1,433596.78,14,224.0,0.6,0,1,2.96,9,1,0,2,COACHED_SCAM
0.0,1,1,2603.41,2,129.7,3.7,0,0,0.14,2,1,0,0,LEGITIMATE
395.0,1,1,318292.09,8,454.3,1.52,0,1,2.43,6,1,0,2,COACHED_SCAM
132.4,1,0,11435.01,3,234.1,6.0,1,0,0.15,1,1,3,0,LEGITIMATE
260.6,1,0,1238.82,5,429.2,3.69,1,0,0.14,4,1,13,0,LEGITIMATE
173.2,1,1,393722.58,12,211.8,1.53,0,1,1.76,11,1,0,2,COACHED_SCAM
0.0,1,0,2498.68,1,378.5,6.26,0,0,0.17,3,1,0,0,LEGITIMATE
378.5,1,1,441581.7,10,484.7,2.04,0,1,2.59,3,1,0,2,COACHED_SCAM
0.0,1,1,1320.2,1,159.1,4.84,0,0,0.44,1,1,0,0,LEGITIMATE
0.0,1,0,9220.95,2,175.9,3.8,0,0,0.18,0,1,0,0,LEGITIMATE
469.8,1,1,4784.63,12,608.0,1.74,0,1,3.03,11,1,0,1,SUSPICIOUS
0.0,1,0,6748.51,3,176.8,4.05,0,0,0.41,1,1,0,0,LEGITIMATE
132.5,1,0,13292.37,3,112.0,3.25,1,0,1.39,5,1,1,1,SUSPICIOUS
274.3,1,0,8608.6,1,309.5,4.62,1,0,0.23,1,1,6,0,LEGITIMATE
0.0,1,0,84500.21,3,79.2,3.11,0,0,0.4,1,1,0,0,LEGITIMATE
0.0,1,1,1455.39,1,220.5,2.91,0,0,0.16,2,1,0,0,LEGITIMATE
245.9,1,1,4809.01,0,453.1,7.89,1,0,0.11,4,1,7,0,LEGITIMATE
0.0,1,0,2939.72,4,147.7,2.81,0,0,0.1,2,1,0,1,SUSPICIOUS
244.9,1,0,1318.04,5,362.4,4.35,0,1,0.84,1,1,0,1,SUSPICIOUS
139.2,1,0,17085.0,1,283.2,2.92,0,1,1.75,4,1,0,1,SUSPICIOUS
0.0,1,0,1782.45,0,300.7,5.08,0,0,0.36,0,1,0,0,LEGITIMATE
0.0,1,0,32827.11,5,432.6,1.56,0,0,1.51,6,1,0,1,SUSPICIOUS
0.0,1,0,5920.09,1,116.4,3.88,0,0,0.1,0,1,0,0,LEGITIMATE
0.0,1,0,130.25,0,143.6,3.68,0,0,0.2,2,1,1,0,LEGITIMATE
159.0,1,0,43789.44,4,236.3,6.26,1,0,0.67,2,1,6,0,LEGITIMATE
0.0,1,1,11626.4,0,513.8,6.28,0,0,0.31,1,1,0,0,LEGITIMATE
189.4,1,0,11672.01,2,283.3,5.84,1,0,0.34,1,1,12,0,LEGITIMATE
258.7,1,1,293978.11,17,326.6,1.19,1,0,2.78,6,1,0,2,COACHED_SCAM
275.1,0,1,120090.12,12,286.1,1.84,0,1,2.29,8,1,0,2,COACHED_SCAM
0.0,1,1,2668.08,2,203.9,2.97,0,0,0.51,0,1,2,0,LEGITIMATE
295.9,1,1,221311.57,12,307.3,1.8,0,1,4.19,7,1,0,2,COACHED_SCAM
312.7,1,1,44036.29,13,392.9,1.06,0,1,4.36,8,1,0,2,COACHED_SCAM
0.0,1,0,5982.84,0,136.4,2.17,0,0,0.27,2,1,0,0,LEGITIMATE
851.8,1,1,14645.84,16,1064.9,2.39,0,1,1.58,15,1,0,2,COACHED_SCAM
99.2,1,0,22479.33,2,169.5,2.83,0,1,1.78,6,1,0,1,SUSPICIOUS
0.0,0,0,2287.86,1,116.7,4.17,0,0,0.16,0,1,1,0,LEGITIMATE
0.0,1,0,8665.88,0,446.3,5.36,0,0,0.28,1,0,0,0,LEGITIMATE
247.8,1,1,401262.27,14,272.8,1.71,0,1,1.87,3,1,0,2,COACHED_SCAM
354.7,1,1,200260.88,12,452.5,2.15,0,1,1.96,9,1,0,2,COACHED_SCAM
404.1,1,0,92473.35,9,495.9,1.96,0,1,2.73,5,1,0,2,COACHED_SCAM
132.4,1,0,1778.1,2,226.9,3.29,1,1,0.47,0,1,0,0,LEGITIMATE
415.2,1,1,72108.35,19,497.0,1.22,0,1,3.11,12,1,0,2,COACHED_SCAM
0.0,1,0,2458.22,1,97.8,2.09,0,0,0.1,1,1,0,0,LEGITIMATE
216.3,1,0,34656.78,1,373.2,4.56,0,1,1.79,2,1,0,1,SUSPICIOUS
0.0,1,1,1808.39,0,219.4,1.53,0,0,0.13,0,1,0,0,LEGITIMATE
0.0,1,0,2937.22,2,71.8,5.15,0,0,0.34,0,1,0,0,LEGITIMATE
0.0,1,0,176703.27,0,219.8,3.16,0,0,0.25,1,1,0,0,LEGITIMATE
499.2,1,1,366773.5,15,669.0,1.41,0,1,4.28,7,0,0,2,COACHED_SCAM
0.0,1,1,788.8,2,240.1,4.2,0,0,0.18,0,1,0,0,LEGITIMATE
0.0,1,0,63790.83,5,153.8,1.9,0,0,1.92,7,1,0,1,SUSPICIOUS
489.3,1,1,247714.03,6,658.1,1.29,0,1,2.65,13,1,0,2,COACHED_SCAM
0.0,1,1,2167.52,4,122.9,3.41,0,0,0.22,1,1,0,0,LEGITIMATE
330.6,1,1,412647.34,10,353.1,2.61,0,1,4.08,10,1,0,2,COACHED_SCAM
482.8,1,1,19216.33,11,605.5,2.29,0,0,4.14,7,1,0,2,COACHED_SCAM
0.0,1,1,1094.48,3,122.0,3.08,0,0,1.32,2,0,0,0,LEGITIMATE
223.2,1,0,12272.38,3,331.4,7.94,1,1,0.14,1,1,0,0,LEGITIMATE
0.0,1,0,11158.87,4,618.1,8.11,0,0,0.14,4,1,0,0,LEGITIMATE
0.0,1,0,1049.27,0,53.4,2.97,0,0,0.58,1,1,0,0,LEGITIMATE
0.0,1,0,11581.71,2,581.4,2.56,0,0,0.31,5,1,0,0,LEGITIMATE
0.0,1,0,1452.26,0,346.9,3.56,0,0,0.25,1,1,0,0,LEGITIMATE
0.0,1,0,1172.67,1,140.9,1.72,0,0,0.32,1,1,0,0,LEGITIMATE
0.0,1,0,7794.57,0,180.2,3.34,0,0,0.56,1,1,0,0,LEGITIMATE
181.3,1,1,7850.55,4,315.0,3.53,0,1,1.71,2,1,0,1,SUSPICIOUS
0.0,1,0,207.25,1,105.9,4.28,0,0,0.28,0,1,0,0,LEGITIMATE
0.0,1,0,2021.9,1,307.4,3.12,0,0,0.09,0,1,0,0,LEGITIMATE
362.0,1,1,407257.69,17,437.4,2.77,0,1,1.72,8,1,0,2,COACHED_SCAM
0.0,1,0,956.73,1,258.0,1.82,0,0,0.11,0,1,0,0,LEGITIMATE
0.0,1,1,890.02,0,90.4,3.02,0,0,0.05,3,1,0,0,LEGITIMATE
0.0,1,0,3130.3,1,128.5,3.79,0,0,0.52,0,1,0,0,LEGITIMATE
0.0,1,1,119573.37,1,84.7,4.3,0,0,0.09,1,1,0,0,LEGITIMATE
0.0,1,1,1840.12,2,188.7,3.26,0,0,0.05,0,1,0,0,LEGITIMATE
0.0,1,0,2428.45,3,222.1,2.62,0,0,0.07,0,1,0,1,SUSPICIOUS
0.0,1,1,75247.01,4,443.3,1.7,0,0,2.7,3,1,0,1,SUSPICIOUS
0.0,1,0,3085.12,0,260.9,5.04,0,0,0.07,2,1,0,0,LEGITIMATE
0.0,1,0,62614.93,0,117.4,3.88,0,0,0.1,0,1,0,0,LEGITIMATE
0.0,1,0,637.07,0,126.6,4.03,0,0,0.41,0,1,0,0,LEGITIMATE
230.4,1,0,362300.79,15,308.7,2.45,0,1,2.18,8,1,0,2,COACHED_SCAM
179.6,1,0,6103.91,5,385.1,4.19,0,1,1.44,5,1,0,1,SUSPICIOUS
146.3,1,0,2292.02,1,210.0,4.62,0,1,0.6,3,1,0,1,SUSPICIOUS
0.0,1,0,2396.91,0,132.1,3.85,0,0,0.34,1,1,2,0,LEGITIMATE
543.9,1,1,23425.82,14,633.0,1.42,0,1,4.4,9,1,0,2,COACHED_SCAM
0.0,1,0,607.58,0,161.2,5.5,0,0,0.05,0,1,0,0,LEGITIMATE
326.8,1,1,18372.82,13,362.3,1.42,0,0,3.75,6,1,0,2,COACHED_SCAM
0.0,1,0,9098.75,4,93.4,4.1,0,0,0.13,1,1,0,0,LEGITIMATE
308.0,1,1,84492.92,3,363.2,4.76,1,0,0.46,1,1,11,0,LEGITIMATE
0.0,1,0,2628.27,2,195.2,5.18,0,0,0.48,3,1,1,0,LEGITIMATE
0.0,1,0,24153.93,7,228.5,1.92,0,0,1.05,1,1,1,1,SUSPICIOUS
0.0,1,0,1230.4,4,158.9,6.26,0,0,0.18,0,1,0,0,LEGITIMATE
0.0,1,0,7170.78,1,212.2,2.42,0,0,0.18,2,1,0,0,LEGITIMATE
149.1,1,1,14824.78,3,222.3,2.12,0,1,0.79,5,1,0,1,SUSPICIOUS
215.9,1,1,8381.01,9,287.8,1.93,0,1,1.48,13,1,0,2,COACHED_SCAM
0.0,1,0,4841.23,3,384.2,7.3,0,0,0.23,4,1,0,0,LEGITIMATE
405.2,1,1,1185.4,3,641.3,3.38,1,0,0.7,1,1,5,0,LEGITIMATE
0.0,1,1,1623.78,0,185.3,2.77,0,0,1.16,1,1,0,0,LEGITIMATE
0.0,1,0,1652.45,2,155.8,4.44,0,0,0.32,1,1,0,0,LEGITIMATE
0.0,1,1,216.02,4,96.8,6.14,0,0,0.36,3,1,0,0,LEGITIMATE
601.1,1,0,4132.32,1,905.2,7.62,1,0,0.06,3,1,5,0,LEGITIMATE
0.0,1,0,7811.15,5,406.9,2.48,0,1,0.92,2,1,0,1,SUSPICIOUS
55.9,1,0,26775.14,7,244.6,1.92,0,1,1.43,7,0,0,1,SUSPICIOUS
298.0,0,1,136872.5,9,369.9,3.13,1,0,3.23,7,1,1,2,COACHED_SCAM
0.0,0,0,3898.87,2,160.4,4.15,0,0,0.16,1,1,0,0,LEGITIMATE
0.0,1,1,3177.61,0,144.6,3.58,0,0,0.11,1,1,0,0,LEGITIMATE
276.3,1,1,355903.14,15,341.7,1.48,0,1,1.74,8,1,0,2,COACHED_SCAM
216.0,1,1,166206.52,12,314.5,1.39,0,1,1.94,6,1,0,2,COACHED_SCAM
0.0,1,0,2629.16,0,420.7,1.97,0,0,0.1,2,1,0,0,LEGITIMATE
239.3,1,1,68233.09,17,348.0,1.44,0,1,4.28,7,1,0,2,COACHED_SCAM
0.0,1,0,15294.61,7,429.8,1.61,0,1,0.93,5,1,0,1,SUSPICIOUS
0.0,1,0,2855.07,0,597.7,4.88,0,0,0.34,2,1,0,0,LEGITIMATE
0.0,1,0,198867.48,2,131.0,3.86,0,0,0.54,0,1,0,0,LEGITIMATE
195.4,1,1,208197.65,11,261.6,2.29,0,1,3.49,8,1,0,2,COACHED_SCAM
0.0,1,1,1460.32,2,84.2,4.15,0,0,0.15,3,1,1,0,LEGITIMATE
324.9,1,1,387415.87,8,467.9,1.57,0,1,4.26,8,0,0,2,COACHED_SCAM
